adresse
"33.0  RUE FOUR, Paris 6.0"
"63.0  RUE RENNES, Paris 6.0"
"27.0  RUE ASSAS, Paris 6.0"
"117.0  RUE RENNES, Paris 6.0"
"90.0  RUE ASSAS, Paris 6.0"
"131.0  BD RASPAIL, Paris 6.0"
"88.0  BD RASPAIL, Paris 6.0"
"52.0  RUE SAINT PLACIDE, Paris 6.0"
"63.0  RUE CHERCHE MIDI, Paris 6.0"
"105.0  RUE CHERCHE MIDI, Paris 6.0"
"132.0  RUE VAUGIRARD, Paris 6.0"
"68.0  RUE CHERCHE MIDI, Paris 6.0"
"3.0 B RUE SAINT PLACIDE, Paris 6.0"
"7.0  RUE DUPIN, Paris 6.0"
"22.0  RUE CHERCHE MIDI, Paris 6.0"
"15.0  RUE CHERCHE MIDI, Paris 6.0"
"71.0  RUE SAINTS PERES, Paris 6.0"
"2.0  RUE CISEAUX, Paris 6.0"
"133.0  BD SAINT GERMAIN, Paris 6.0"
"35.0  RUE JACOB, Paris 6.0"
"180.0  BD SAINT GERMAIN, Paris 6.0"
"40.0  RUE BONAPARTE, Paris 6.0"
"6.0 B RUE ABBAYE, Paris 6.0"
"36.0  RUE SEINE, Paris 6.0"
"3.0  RUE BEAUNE, Paris 7.0"
"13.0  RUE LILLE, Paris 7.0"
"2.0  RUE UNIVERSITE, Paris 7.0"
"50.0  RUE LILLE, Paris 7.0"
"45.0  RUE BAC, Paris 7.0"
"130.0  RUE BAC, Paris 7.0"
"59.0  RUE VANEAU, Paris 7.0"
"128.0  RUE RIVOLI, Paris 1.0"
"29.0  RUE CLER, Paris 7.0"
"34.0  AV LA MOTTE PICQUET, Paris 7.0"
"54.0  RUE SAINT DOMINIQUE, Paris 7.0"
"28.0  RUE SURCOUF, Paris 7.0"
"20.0  RUE JEAN NICOT, Paris 7.0"
"76.0  RUE SAINT DOMINIQUE, Paris 7.0"
"38.0  AV BOSQUET, Paris 7.0"
"22.0  AV LA BOURDONNAIS, Paris 7.0"
"20.0  AV BOSQUET, Paris 7.0"
"27.0 B RUE EXPOSITION, Paris 7.0"
"14.0  AV MONTAIGNE, Paris 8.0"
"29.0  RUE MARIGNAN, Paris 8.0"
"29.0  RUE MARBEUF, Paris 8.0"
"19.0  RUE PONT NEUF, Paris 1.0"
"75.0  AV CHAMPS ELYSEES, Paris 8.0"
"15.0  RUE CLEMENT MAROT, Paris 8.0"
"10.0  AV GEORGE V, Paris 8.0"
"133.0  AV CHAMPS ELYSEES, Paris 8.0"
"89.0  BD COURCELLES, Paris 8.0"
"25.0  AV HOCHE, Paris 8.0"
"30.0  RUE WASHINGTON, Paris 8.0"
"36.0  RUE WASHINGTON, Paris 8.0"
"73.0  AV FRANKLIN D  ROOSEVELT, Paris 8.0"
"141.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"98.0  RUE LA BOETIE, Paris 8.0"
"27.0  RUE JEAN MERMOZ, Paris 8.0"
"37.0  RUE COLISEE, Paris 8.0"
"229.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"14.0  AV MATIGNON, Paris 8.0"
"7.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"14.0  RUE ROYALE, Paris 8.0"
"11.0  RUE VIGNON, Paris 8.0"
"15.0  RUE TRONCHET, Paris 8.0"
"25.0  RUE TRONCHET, Paris 8.0"
"6.0  RUE ISLY, Paris 8.0"
"138.0  RUE RIVOLI, Paris 1.0"
"11.0 B RUE SURENE, Paris 8.0"
"70.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"19.0  RUE PENTHIEVRE, Paris 8.0"
"34.0  RUE MIROMESNIL, Paris 8.0"
"104.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"25.0  RUE PENTHIEVRE, Paris 8.0"
"44.0  RUE LA BOETIE, Paris 8.0"
"66.0  RUE LA BOETIE, Paris 8.0"
"156.0  BD HAUSSMANN, Paris 8.0"
"4.0  RUE TREILHARD, Paris 8.0"
"64.0  RUE MIROMESNIL, Paris 8.0"
"43.0  RUE MIROMESNIL, Paris 8.0"
"6.0  AV PERCIER, Paris 8.0"
"15.0  RUE ARGENSON, Paris 8.0"
"8.0  RUE LA BOETIE, Paris 8.0"
"120.0  BD HAUSSMANN, Paris 8.0"
"126.0  BD HAUSSMANN, Paris 8.0"
"130.0  BD HAUSSMANN, Paris 8.0"
"80.0  BD MALESHERBES, Paris 8.0"
"37.0  RUE CONSTANTINOPLE, Paris 8.0"
"4.0  RUE LARRIBE, Paris 8.0"
"16.0  RUE ROCHER, Paris 8.0"
"27.0  RUE ROME, Paris 8.0"
"33.0  BD BATIGNOLLES, Paris 8.0"
"32.0  RUE LONDRES, Paris 9.0"
"13.0  RUE PARME, Paris 9.0"
"67.0  RUE DOUAI, Paris 9.0"
"31.0  RUE BALLU, Paris 9.0"
"54.0  RUE CLICHY, Paris 9.0"
"2.0 B PL ESTIENNE D ORVES, Paris 9.0"
"28.0  RUE JEAN BAPTISTE PIGALLE, Paris 9.0"
"35.0  RUE LA ROCHEFOUCAULD, Paris 9.0"
"35.0  RUE JEAN BAPTISTE PIGALLE, Paris 9.0"
"82.0  RUE BLANCHE, Paris 9.0"
"26.0  RUE DOUAI, Paris 9.0"
"7.0  RUE FROMENTIN, Paris 9.0"
"3.0  RUE HENRY MONNIER, Paris 9.0"
"4.0  PL GUSTAVE TOUDOUZE, Paris 9.0"
"45.0  RUE NOTRE DAME DE LORETTE, Paris 9.0"
"5.0  BD CLICHY, Paris 9.0"
"5.0  RUE BOURDALOUE, Paris 9.0"
"13.0  RUE LA FAYETTE, Paris 9.0"
"24.0  RUE LA FAYETTE, Paris 9.0"
"61.0  RUE PROVENCE, Paris 9.0"
"18.0  RUE MOGADOR, Paris 9.0"
"73.0  RUE CAUMARTIN, Paris 9.0"
"5.0  RUE SCRIBE, Paris 9.0"
"6.0  RUE SCRIBE, Paris 9.0"
"10.0  BD MONTMARTRE, Paris 9.0"
"5.0  RUE PROVENCE, Paris 9.0"
"29.0  RUE BLEUE, Paris 9.0"
"42.0  RUE CADET, Paris 9.0"
"5.0  RUE HIPPOLYTE LEBAS, Paris 9.0"
"22.0  RUE MARTYRS, Paris 9.0"
"7.0  RUE LA TOUR D AUVERGNE, Paris 9.0"
"28.0  RUE LA TOUR D AUVERGNE, Paris 9.0"
"10.0  AV TRUDAINE, Paris 9.0"
"187.0  RUE FAUBOURG POISSONNIERE, Paris 9.0"
"21.0  RUE CONDORCET, Paris 9.0"
"80.0  RUE MAUBEUGE, Paris 9.0"
"109.0  RUE FAUBOURG POISSONNIERE, Paris 9.0"
"23.0  RUE DUNKERQUE, Paris 10.0"
"220.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"230.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"48.0  RUE LOUIS BLANC, Paris 10.0"
"26.0  RUE CHATEAU LANDON, Paris 10.0"
"14.0  RUE MAZAGRAN, Paris 10.0"
"7.0  RUE ENGHIEN, Paris 10.0"
"59.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"10.0  RUE PETITES ECURIES, Paris 10.0"
"66.0  RUE HAUTEVILLE, Paris 10.0"
"21.0 B RUE PARADIS, Paris 10.0"
"29.0  RUE CHABROL, Paris 10.0"
"105.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"40.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"46.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"52.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"18.0  BD SAINT DENIS, Paris 10.0"
"5.0  RUE CHABROL, Paris 10.0"
"6.0  RUE LUCIEN SAMPAIX, Paris 10.0"
"29.0  RUE LANCRY, Paris 10.0"
"6.0  RUE BAILLEUL, Paris 1.0"
"64.0  RUE FAUBOURG SAINT MARTIN, Paris 10.0"
"96.0  RUE RENE BOULANGER, Paris 10.0"
"26.0  RUE BEAUREPAIRE, Paris 10.0"
"7.0  RUE MARSEILLE, Paris 10.0"
"30.0  RUE ALBERT THOMAS, Paris 10.0"
"84.0  RUE RENE BOULANGER, Paris 10.0"
"159.0  QU VALMY, Paris 10.0"
"212.0  RUE FAUBOURG SAINT MARTIN, Paris 10.0"
"3.0  PL COLONEL FABIEN, Paris 10.0"
"10.0  RUE CIVIALE, Paris 10.0"
"1.0  RUE AIX, Paris 10.0"
"6.0 B RUE RECOLLETS, Paris 10.0"
"2.0  RUE TROIS COURONNES, Paris 11.0"
"4.0  RUE TROIS COURONNES, Paris 11.0"
"70.0  RUE JEAN PIERRE TIMBAUD, Paris 11.0"
"156.0  RUE RIVOLI, Paris 1.0"
"54.0  RUE FAUBOURG DU TEMPLE, Paris 11.0"
"19.0  AV REPUBLIQUE, Paris 11.0"
"107.0  BD RICHARD LENOIR, Paris 11.0"
"13.0  BD VOLTAIRE, Paris 11.0"
"9.0  AV REPUBLIQUE, Paris 11.0"
"3.0  BD BELLEVILLE, Paris 11.0"
"19.0  BD BELLEVILLE, Paris 11.0"
"162.0  RUE SAINT MAUR, Paris 11.0"
"40.0  RUE OBERKAMPF, Paris 11.0"
"50.0  RUE OBERKAMPF, Paris 11.0"
"104.0  RUE OBERKAMPF, Paris 11.0"
"156.0  RUE OBERKAMPF, Paris 11.0"
"8.0  RUE ROCHEBRUNE, Paris 11.0"
"7.0  RUE LACHARRIERE, Paris 11.0"
"53.0 B RUE CHEMIN VERT, Paris 11.0"
"37.0  RUE SAINT AMBROISE, Paris 11.0"
"38.0  BD BEAUMARCHAIS, Paris 11.0"
"16.0  BD BEAUMARCHAIS, Paris 11.0"
"2.0  BD RICHARD LENOIR, Paris 11.0"
"30.0  RUE POPINCOURT, Paris 11.0"
"117.0  RUE ROQUETTE, Paris 11.0"
"14.0  RUE CAMILLE DESMOULINS, Paris 11.0"
"131.0  RUE ROQUETTE, Paris 11.0"
"7.0  RUE SAINT MAUR, Paris 11.0"
"30.0  RUE SAINT MAUR, Paris 11.0"
"65.0  BD MENILMONTANT, Paris 11.0"
"115.0  BD VOLTAIRE, Paris 11.0"
"123.0  BD VOLTAIRE, Paris 11.0"
"127.0  BD VOLTAIRE, Paris 11.0"
"144.0  BD VOLTAIRE, Paris 11.0"
"54.0  RUE GODEFROY CAVAIGNAC, Paris 11.0"
"25.0  RUE CHARONNE, Paris 11.0"
"13.0  RUE CHARONNE, Paris 11.0"
"12.0  RUE ROQUETTE, Paris 11.0"
"92.0  AV LEDRU ROLLIN, Paris 11.0"
"112.0  AV LEDRU ROLLIN, Paris 11.0"
"21.0  RUE MONTREUIL, Paris 11.0"
"37.0  RUE MONTREUIL, Paris 11.0"
"250.0  BD VOLTAIRE, Paris 11.0"
"70.0  RUE MONTREUIL, Paris 11.0"
"205.0  BD VOLTAIRE, Paris 11.0"
"126.0  RUE CHARONNE, Paris 11.0"
"9.0  RUE LEON FROT, Paris 11.0"
"94.0  CRS VINCENNES, Paris 12.0"
"116.0  CRS VINCENNES, Paris 12.0"
"121.0  BD SOULT, Paris 12.0"
"21.0  BD SOULT, Paris 12.0"
"32.0  RUE LOUIS BRAILLE, Paris 12.0"
"69.0  AV DOCTEUR ARNOLD NETTER, Paris 12.0"
"26.0  PL NATION, Paris 12.0"
"18.0  RUE JAUCOURT, Paris 12.0"
"231.0  AV DAUMESNIL, Paris 12.0"
"4.0  RUE GOSSEC, Paris 12.0"
"42.0  RUE CLAUDE DECAEN, Paris 12.0"
"6.0  RUE MADAGASCAR, Paris 12.0"
"241.0  RUE CHARENTON, Paris 12.0"
"12.0  BD REUILLY, Paris 12.0"
"164.0  AV DAUMESNIL, Paris 12.0"
"172.0  AV DAUMESNIL, Paris 12.0"
"207.0  RUE CHARENTON, Paris 12.0"
"9.0  RUE COLONEL ROZANOFF, Paris 12.0"
"25.0  RUE MONTGALLET, Paris 12.0"
"1.0  PL LACHAMBEAUDIE, Paris 12.0"
"116.0  RUE BERCY, Paris 12.0"
"32.0  BD DIDEROT, Paris 12.0"
"154.0  RUE CHARENTON, Paris 12.0"
"24.0  RUE ALIGRE, Paris 12.0"
"69.0  RUE CROZATIER, Paris 12.0"
"16.0  RUE ALIGRE, Paris 12.0"
"11.0  RUE ANTOINE VOLLON, Paris 12.0"
"8.0  RUE PRAGUE, Paris 12.0"
"86.0  AV LEDRU ROLLIN, Paris 12.0"
"73.0  AV LEDRU ROLLIN, Paris 12.0"
"57.0  RUE CHARENTON, Paris 12.0"
"28.0  RUE FAUBOURG SAINT ANTOINE, Paris 12.0"
"26.0  AV DAUMESNIL, Paris 12.0"
"28.0  AV LEDRU ROLLIN, Paris 12.0"
"38.0  AV LEDRU ROLLIN, Paris 12.0"
"7.0  AV LEDRU ROLLIN, Paris 12.0"
"9.0 B RUE ALIGRE, Paris 12.0"
"14.0  AV LEDRU ROLLIN, Paris 12.0"
"63.0  AV GOBELINS, Paris 13.0"
"25.0  RUE CAMPO FORMIO, Paris 13.0"
"119.0  BD HOPITAL, Paris 13.0"
"64.0  RUE PATAY, Paris 13.0"
"10.0  RUE TOLBIAC, Paris 13.0"
"108.0  RUE NATIONALE, Paris 13.0"
"53.0  RUE JEANNE D ARC, Paris 13.0"
"53.0  RUE TOLBIAC, Paris 13.0"
"34.0  AV PORTE DE CHOISY, Paris 13.0"
"56.0  RUE DOMREMY, Paris 13.0"
"101.0  RUE TOLBIAC, Paris 13.0"
"49.0  AV ITALIE, Paris 13.0"
"129.0  AV CHOISY, Paris 13.0"
"130.0  RUE TOLBIAC, Paris 13.0"
"223.0  RUE TOLBIAC, Paris 13.0"
"20.0  RUE BOUSSINGAULT, Paris 13.0"
"189.0  RUE TOLBIAC, Paris 13.0"
"108.0  AV ITALIE, Paris 13.0"
"110.0 B AV ITALIE, Paris 13.0"
"140.0  AV ITALIE, Paris 13.0"
"60.0  AV ITALIE, Paris 13.0"
"44.0  AV ITALIE, Paris 13.0"
"6.0  RUE MOULINET, Paris 13.0"
"30.0  AV ITALIE, Paris 13.0"
"30.0  AV ITALIE, Paris 13.0"
"18.0  RUE BUTTE AUX CAILLES, Paris 13.0"
"6.0  RUE BOBILLOT, Paris 13.0"
"30.0  AV GOBELINS, Paris 13.0"
"10.0  BD ARAGO, Paris 13.0"
"118.0  BD MONTPARNASSE, Paris 14.0"
"4.0  RUE BERGER, Paris 1.0"
"62.0  RUE MONTPARNASSE, Paris 14.0"
"13.0  RUE VANDAMME, Paris 14.0"
"25.0  RUE GAITE, Paris 14.0"
"11.0  RUE GASSENDI, Paris 14.0"
"21.0  RUE SAINT YVES, Paris 14.0"
"13.0  RUE ALESIA, Paris 14.0"
"85.0  RUE TOMBE ISSOIRE, Paris 14.0"
"3.0  AV GENERAL LECLERC, Paris 14.0"
"40.0  RUE ALESIA, Paris 14.0"
"17.0  RUE ALPHONSE DAUDET, Paris 14.0"
"35.0  RUE PERE CORENTIN, Paris 14.0"
"96.0  AV GENERAL LECLERC, Paris 14.0"
"177.0  BD BRUNE, Paris 14.0"
"220.0  AV MAINE, Paris 14.0"
"186.0  AV MAINE, Paris 14.0"
"13.0  RUE ERNEST CRESSON, Paris 14.0"
"149.0  AV MAINE, Paris 14.0"
"2.0  RUE PLANTES, Paris 14.0"
"21.0  RUE SABLIERE, Paris 14.0"
"63.0  RUE DIDOT, Paris 14.0"
"65.0  RUE DIDOT, Paris 14.0"
"83.0  RUE DIDOT, Paris 14.0"
"135.0  BD BRUNE, Paris 14.0"
"121.0  RUE DIDOT, Paris 14.0"
"64.0  BD BRUNE, Paris 14.0"
"92.0  RUE DIDOT, Paris 14.0"
"48.0  RUE PIERRE LAROUSSE, Paris 14.0"
"46.0  RUE PERNETY, Paris 14.0"
"7.0  RUE FRANCIS DE PRESSENSE, Paris 14.0"
"73.0  RUE BRANCION, Paris 15.0"
"223.0  RUE CROIX NIVERT, Paris 15.0"
"8.0  RUE DESNOUETTES, Paris 15.0"
"352.0  RUE VAUGIRARD, Paris 15.0"
"174.0  RUE LECOURBE, Paris 15.0"
"278.0  RUE VAUGIRARD, Paris 15.0"
"199.0  RUE CONVENTION, Paris 15.0"
"325.0  RUE VAUGIRARD, Paris 15.0"
"301.0  RUE VAUGIRARD, Paris 15.0"
"85.0  BD LEFEBVRE, Paris 15.0"
"108.0  RUE OLIVIER DE SERRES, Paris 15.0"
"138.0  RUE VAUGIRARD, Paris 15.0"
"38.0  RUE FALGUIERE, Paris 15.0"
"167.0  RUE VAUGIRARD, Paris 15.0"
"38.0  RUE MATHURIN REGNIER, Paris 15.0"
"25.0  RUE LECOURBE, Paris 15.0"
"30.0  RUE ERNEST RENAN, Paris 15.0"
"112.0  RUE SEVRES, Paris 15.0"
"17.0  RUE ROBERT FLEURY, Paris 15.0"
"37.0  BD GARIBALDI, Paris 15.0"
"20.0  RUE LAOS, Paris 15.0"
"8.0  RUE SAINT CHARLES, Paris 15.0"
"4.0 B RUE VIOLET, Paris 15.0"
"41.0  RUE FONDARY, Paris 15.0"
"148.0  AV EMILE ZOLA, Paris 15.0"
"99.0  RUE THEATRE, Paris 15.0"
"128.0  AV EMILE ZOLA, Paris 15.0"
"82.0  RUE COMMERCE, Paris 15.0"
"93.0  RUE ENTREPRENEURS, Paris 15.0"
"91.0  RUE COMMERCE, Paris 15.0"
"64.0  RUE CROIX NIVERT, Paris 15.0"
"83.0  RUE COMMERCE, Paris 15.0"
"11.0  RUE ABBE GROULT, Paris 15.0"
"7.0  AV FELIX FAURE, Paris 15.0"
"294.0  RUE LECOURBE, Paris 15.0"
"362.0  RUE LECOURBE, Paris 15.0"
"54.0  AV FELIX FAURE, Paris 15.0"
"123.0  RUE SAINT CHARLES, Paris 15.0"
"46.0  RUE BALARD, Paris 15.0"
"13.0  RUE BALARD, Paris 15.0"
"21.0  AV VERSAILLES, Paris 16.0"
"131.0  BD MURAT, Paris 16.0"
"12.0  RUE MIRABEAU, Paris 16.0"
"34.0  AV VERSAILLES, Paris 16.0"
"4.0  AV VERSAILLES, Paris 16.0"
"17.0  RUE JEAN DE LA FONTAINE, Paris 16.0"
"22.0  AV THEOPHILE GAUTIER, Paris 16.0"
"79.0  RUE JEAN DE LA FONTAINE, Paris 16.0"
"5.0  RUE BASTIEN LEPAGE, Paris 16.0"
"41.0  RUE MOLITOR, Paris 16.0"
"8.0  RUE LECOMTE DU NOUY, Paris 16.0"
"38.0  RUE POUSSIN, Paris 16.0"
"74.0 B RUE AUTEUIL, Paris 16.0"
"122.0  RUE JEAN DE LA FONTAINE, Paris 16.0"
"62.0  AV MOZART, Paris 16.0"
"19.0  RUE LE MAROIS, Paris 16.0"
"17.0  AV PAUL DOUMER, Paris 16.0"
"4.0  RUE PASSY, Paris 16.0"
"6.0  RUE NICOLO, Paris 16.0"
"71.0  AV PAUL DOUMER, Paris 16.0"
"28.0 B RUE VITAL, Paris 16.0"
"95.0  RUE PASSY, Paris 16.0"
"1.0  RUE DUBAN, Paris 16.0"
"33.0  RUE ANNONCIATION, Paris 16.0"
"55.0  RUE PASSY, Paris 16.0"
"15.0  AV MOZART, Paris 16.0"
"86.0  AV PAUL DOUMER, Paris 16.0"
"10.0  RUE VITAL, Paris 16.0"
"97.0  RUE LONGCHAMP, Paris 16.0"
"10.0  RUE GUSTAVE COURBET, Paris 16.0"
"32.0  RUE GUSTAVE COURBET, Paris 16.0"
"55.0  AV BUGEAUD, Paris 16.0"
"11.0  RUE DUFRENOY, Paris 16.0"
"19.0  RUE PERGOLESE, Paris 16.0"
"26.0  RUE LAURISTON, Paris 16.0"
"37.0  AV VICTOR HUGO, Paris 16.0"
"22.0  RUE LAURISTON, Paris 16.0"
"57.0  AV IENA, Paris 16.0"
"69.0  AV KLEBER, Paris 16.0"
