adresse
"20.0  RUE POISSONNIERE, Paris 2.0"
"85.0  RUE CLERY, Paris 2.0"
"84.0  RUE CLERY, Paris 2.0"
"79.0  RUE REAUMUR, Paris 2.0"
"179.0  RUE SAINT DENIS, Paris 2.0"
"102.0  RUE MONTORGUEIL, Paris 2.0"
"51.0  RUE SAINT SAUVEUR, Paris 2.0"
"145.0  RUE SAINT DENIS, Paris 2.0"
"145.0  RUE SAINT DENIS, Paris 2.0"
"145.0  RUE SAINT DENIS, Paris 2.0"
"2.0  RUE TIQUETONNE, Paris 2.0"
"35.0  RUE TIQUETONNE, Paris 2.0"
"152.0  RUE SAINT DENIS, Paris 2.0"
"9.0  RUE TRACY, Paris 2.0"
"339.0  RUE SAINT MARTIN, Paris 3.0"
"79.0  RUE NOTRE DAME DE NAZARETH, Paris 3.0"
"62.0  RUE VERTBOIS, Paris 3.0"
"46.0  RUE PASTOURELLE, Paris 3.0"
"144.0  RUE TEMPLE, Paris 3.0"
"80.0  RUE ARCHIVES, Paris 3.0"
"51.0  RUE BRETAGNE, Paris 3.0"
"10.0  RUE POITOU, Paris 3.0"
"73.0  RUE DUNKERQUE, Paris 9.0"
"10.0  RUE DUPETIT THOUARS, Paris 3.0"
"6.0  RUE FILLES DU CALVAIRE, Paris 3.0"
"20.0  RUE PONT AUX CHOUX, Paris 3.0"
"43.0  RUE BRETAGNE, Paris 3.0"
"16.0  RUE SAINT CLAUDE, Paris 3.0"
"16.0  RUE MINIMES, Paris 3.0"
"10.0  RUE FRANCS BOURGEOIS, Paris 3.0"
"45.0  RUE TURENNE, Paris 3.0"
"66.0  RUE VIEILLE DU TEMPLE, Paris 3.0"
"3.0  RUE ROI DORE, Paris 3.0"
"31.0 T RUE TOURNELLES, Paris 3.0"
"6.0  RUE CHAPON, Paris 3.0"
"26.0  RUE CHAPON, Paris 3.0"
"19.0  RUE MONTMORENCY, Paris 3.0"
"38.0  RUE RAMBUTEAU, Paris 3.0"
"49.0  RUE QUINCAMPOIX, Paris 4.0"
"21.0  RUE RAMBUTEAU, Paris 4.0"
"33.0  RUE RAMBUTEAU, Paris 4.0"
"13.0  RUE RAMBUTEAU, Paris 4.0"
"5.0  RUE RAMBUTEAU, Paris 4.0"
"6.0  RUE SAINT MERRI, Paris 4.0"
"92.0  RUE SAINT MARTIN, Paris 4.0"
"86.0  RUE RIVOLI, Paris 4.0"
"31.0  RUE FRANCOIS MIRON, Paris 4.0"
"76.0  RUE FRANCOIS MIRON, Paris 4.0"
"109.0  RUE SAINT ANTOINE, Paris 4.0"
"2.0  RUE CARON, Paris 4.0"
"3.0  RUE CARON, Paris 4.0"
"42.0  RUE RIVOLI, Paris 4.0"
"7.0  RUE VERRERIE, Paris 4.0"
"30.0  RUE VIEILLE DU TEMPLE, Paris 4.0"
"26.0  RUE ROI DE SICILE, Paris 4.0"
"16.0  RUE PAVEE, Paris 4.0"
"11.0  RUE SEVIGNE, Paris 4.0"
"54.0  RUE ARCHIVES, Paris 4.0"
"5.0  RUE PAS DE LA MULE, Paris 4.0"
"12.0  RUE CASTEX, Paris 4.0"
"26.0  RUE PETIT MUSC, Paris 4.0"
"23.0  RUE CHARLES V, Paris 4.0"
"64.0  RUE SAINT ANTOINE, Paris 4.0"
"8.0 B RUE SAINT ANTOINE, Paris 4.0"
"31.0  RUE SAINT LOUIS EN L ILE, Paris 4.0"
"33.0  QU BOURBON, Paris 4.0"
"69.0  RUE SAINT LOUIS EN L ILE, Paris 4.0"
"63.0  RUE MONGE, Paris 5.0"
"24.0  RUE LINNE, Paris 5.0"
"4.0  RUE LINNE, Paris 5.0"
"30.0  BD HOPITAL, Paris 5.0"
"11.0 B RUE LACEPEDE, Paris 5.0"
"5.0  RUE COLLEGIALE, Paris 5.0"
"12.0  AV GOBELINS, Paris 5.0"
"5.0  RUE CLAUDE BERNARD, Paris 5.0"
"45.0  RUE CENSIER, Paris 5.0"
"25.0  RUE LACEPEDE, Paris 5.0"
"49.0  RUE LACEPEDE, Paris 5.0"
"103.0  RUE MOUFFETARD, Paris 5.0"
"171.0  RUE SAINT JACQUES, Paris 5.0"
"30.0  RUE BROCA, Paris 5.0"
"16.0  RUE FLATTERS, Paris 5.0"
"59.0  RUE CLAUDE BERNARD, Paris 5.0"
"143.0  BD SAINT MICHEL, Paris 5.0"
"64.0  RUE MOUFFETARD, Paris 5.0"
"102.0  RUE MOUFFETARD, Paris 5.0"
"3.0  RUE FOSSES SAINT JACQUES, Paris 5.0"
"42.0  RUE SAINT JACQUES, Paris 5.0"
"34.0  RUE SAINT JACQUES, Paris 5.0"
"5.0  RUE LATRAN, Paris 5.0"
"7.0  RUE DU SOMMERARD, Paris 5.0"
"11.0  RUE SAINT SEVERIN, Paris 5.0"
"19.0  QU GRANDS AUGUSTINS, Paris 6.0"
"21.0  RUE GUENEGAUD, Paris 6.0"
"63.0  RUE DAUPHINE, Paris 6.0"
"59.0  RUE SAINT ANDRE DES ARTS, Paris 6.0"
"132.0  BD SAINT GERMAIN, Paris 6.0"
"8.0 B RUE JACQUES CALLOT, Paris 6.0"
"45.0  RUE MONSIEUR LE PRINCE, Paris 6.0"
"26.0  RUE MONSIEUR LE PRINCE, Paris 6.0"
"23.0  RUE RACINE, Paris 6.0"
"103.0  BD SAINT GERMAIN, Paris 6.0"
"17.0  RUE QUATRE VENTS, Paris 6.0"
"44.0  RUE GREGOIRE DE TOURS, Paris 6.0"
"6.0  RUE CANETTES, Paris 6.0"
"76.0  RUE BONAPARTE, Paris 6.0"
"8.0  RUE VIEUX COLOMBIER, Paris 6.0"
"28.0  RUE MADAME, Paris 6.0"
"56.0  RUE NOTRE DAME DES CHAMPS, Paris 6.0"
"79.0  BD MONTPARNASSE, Paris 6.0"
"149.0  RUE RENNES, Paris 6.0"
"153.0  RUE RENNES, Paris 6.0"
"119.0  RUE RENNES, Paris 6.0"
"120.0  RUE RENNES, Paris 6.0"
"146.0 B RUE RENNES, Paris 6.0"
"12.0  RUE LITTRE, Paris 6.0"
"108.0 B RUE CHERCHE MIDI, Paris 6.0"
"9.0 B RUE ASSAS, Paris 6.0"
"90.0  RUE RENNES, Paris 6.0"
"77.0  RUE SAINTS PERES, Paris 6.0"
"174.0  BD SAINT GERMAIN, Paris 6.0"
"7.0  RUE FURSTEMBERG, Paris 6.0"
"32.0  RUE JACOB, Paris 6.0"
"38.0  RUE SEINE, Paris 6.0"
"7.0  RUE BAC, Paris 7.0"
"6.0  RUE BEAUNE, Paris 7.0"
"42.0  RUE UNIVERSITE, Paris 7.0"
"23.0  RUE GRENELLE, Paris 7.0"
"5.0  RUE VARENNE, Paris 7.0"
"67.0  RUE BAC, Paris 7.0"
"4.0  RUE SAINT DOMINIQUE, Paris 7.0"
"3.0  RUE CHOMEL, Paris 7.0"
"25.0  RUE VANEAU, Paris 7.0"
"21.0  RUE LAS CASES, Paris 7.0"
"260.0 B BD SAINT GERMAIN, Paris 7.0"
"88.0  RUE SEVRES, Paris 7.0"
"88.0  RUE SEVRES, Paris 7.0"
"67.0  AV BRETEUIL, Paris 7.0"
"30.0  AV DUQUESNE, Paris 7.0"
"72.0  BD LA TOUR MAUBOURG, Paris 7.0"
"55.0  RUE CLER, Paris 7.0"
"12.0  RUE CHAMP DE MARS, Paris 7.0"
"194.0  RUE GRENELLE, Paris 7.0"
"18.0  RUE AMELIE, Paris 7.0"
"28.0  RUE SURCOUF, Paris 7.0"
"26.0  RUE MALAR, Paris 7.0"
"13.0  RUE DUPONT DES LOGES, Paris 7.0"
"83.0  AV LA BOURDONNAIS, Paris 7.0"
"42.0  AV BOSQUET, Paris 7.0"
"22.0  RUE CHAMP DE MARS, Paris 7.0"
"27.0  AV LA BOURDONNAIS, Paris 7.0"
"25.0  RUE MARBEUF, Paris 8.0"
"54.0  RUE FRANCOIS IER, Paris 8.0"
"11.0 B RUE PIERRE SEMARD, Paris 9.0"
"1.0  AV GEORGE V, Paris 8.0"
"270.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"187.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"46.0  RUE ARTOIS, Paris 8.0"
"5.0  RUE COURCELLES, Paris 8.0"
"48.0  RUE PONTHIEU, Paris 8.0"
"34.0  RUE COLISEE, Paris 8.0"
"97.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"10.0 B RUE COLISEE, Paris 8.0"
"10.0 B RUE COLISEE, Paris 8.0"
"8.0  RUE TRONCHET, Paris 8.0"
"34.0  RUE ARCADE, Paris 8.0"
"24.0  RUE PASQUIER, Paris 8.0"
"25.0  RUE ROYALE, Paris 8.0"
"25.0  RUE ROYALE, Paris 8.0"
"34.0  RUE FAUBOURG SAINT HONORE, Paris 8.0"
"11.0  RUE LA BOETIE, Paris 8.0"
"2.0  RUE MIROMESNIL, Paris 8.0"
"27.0  RUE CAMBACERES, Paris 8.0"
"1.0  PL RIO DE JANEIRO, Paris 8.0"
"36.0  RUE COURCELLES, Paris 8.0"
"76.0  RUE COURCELLES, Paris 8.0"
"105.0  BD HAUSSMANN, Paris 8.0"
"2.0  RUE PEPINIERE, Paris 8.0"
"21.0  RUE CONSTANTINOPLE, Paris 8.0"
"69.0  RUE ROME, Paris 8.0"
"13.0  RUE AMSTERDAM, Paris 8.0"
"5.0  PL DUBLIN, Paris 8.0"
"33.0  RUE MOSCOU, Paris 8.0"
"35.0  BD BATIGNOLLES, Paris 8.0"
"33.0  RUE TURIN, Paris 8.0"
"15.0  BD BATIGNOLLES, Paris 8.0"
"3.0  PL CLICHY, Paris 8.0"
"22.0  RUE LIEGE, Paris 8.0"
"33.0  RUE AMSTERDAM, Paris 8.0"
"9.0  RUE CLICHY, Paris 9.0"
"61.0  BD CLICHY, Paris 9.0"
"34.0  RUE LA BRUYERE, Paris 9.0"
"1.0  RUE PIERRE FONTAINE, Paris 9.0"
"15.0  RUE PIERRE FONTAINE, Paris 9.0"
"88.0  RUE BLANCHE, Paris 9.0"
"11.0  RUE MARTYRS, Paris 9.0"
"34.0  RUE NOTRE DAME DE LORETTE, Paris 9.0"
"15.0  RUE NOTRE DAME DE LORETTE, Paris 9.0"
"67.0  RUE MARTYRS, Paris 9.0"
"17.0  RUE LA FAYETTE, Paris 9.0"
"41.0  RUE TAITBOUT, Paris 9.0"
"86.0  RUE PROVENCE, Paris 9.0"
"37.0  RUE GODOT DE MAUROY, Paris 9.0"
"1.0  RUE AUBER, Paris 9.0"
"4.0  RUE CHAUSSEE D ANTIN, Paris 9.0"
"18.0  RUE LE PELETIER, Paris 9.0"
"34.0  RUE DROUOT, Paris 9.0"
"56.0  RUE RICHER, Paris 9.0"
"56.0  RUE RICHER, Paris 9.0"
"15.0  RUE TREVISE, Paris 9.0"
"11.0  RUE BERGERE, Paris 9.0"
"19.0  RUE LAMARTINE, Paris 9.0"
"35.0  RUE LA FAYETTE, Paris 9.0"
"15.0  RUE CHATEAUDUN, Paris 9.0"
"70.0  RUE FAUBOURG MONTMARTRE, Paris 9.0"
"8.0  RUE CHOISEUL, Paris 2.0"
"52.0  RUE MARTYRS, Paris 9.0"
"12.0  PL ANVERS, Paris 9.0"
"85.0  RUE DUNKERQUE, Paris 9.0"
"169.0  RUE FAUBOURG POISSONNIERE, Paris 9.0"
"51.0  RUE DUNKERQUE, Paris 9.0"
"33.0  RUE PHILIPPE DE GIRARD, Paris 10.0"
"34.0  RUE PHILIPPE DE GIRARD, Paris 10.0"
"215.0  RUE LA FAYETTE, Paris 10.0"
"4.0  RUE DEUX GARES, Paris 10.0"
"16.0  RUE DEUX GARES, Paris 10.0"
"5.0  RUE DEUX GARES, Paris 10.0"
"135.0  RUE FAUBOURG SAINT DENIS, Paris 10.0"
"14.0  RUE HAUTEVILLE, Paris 10.0"
"20.0  RUE MAZAGRAN, Paris 10.0"
"31.0  RUE PARADIS, Paris 10.0"
"72.0  BD MAGENTA, Paris 10.0"
"73.0  BD STRASBOURG, Paris 10.0"
"33.0  BD STRASBOURG, Paris 10.0"
"18.0  BD SAINT DENIS, Paris 10.0"
"61.0  BD MAGENTA, Paris 10.0"
"46.0  RUE CHATEAU D EAU, Paris 10.0"
"60.0  QU JEMMAPES, Paris 10.0"
"10.0  RUE GRANGE AUX BELLES, Paris 10.0"
"58.0  RUE LANCRY, Paris 10.0"
"32.0  RUE LANCRY, Paris 10.0"
"44.0 B RUE LUCIEN SAMPAIX, Paris 10.0"
"7.0  RUE SAINT LAURENT, Paris 10.0"
"47.0  RUE LUCIEN SAMPAIX, Paris 10.0"
"18.0  AV CLAUDE VELLEFAUX, Paris 10.0"
"69.0  RUE FONTAINE AU ROI, Paris 11.0"
"37.0  BD BELLEVILLE, Paris 11.0"
"48.0  RUE FONTAINE AU ROI, Paris 11.0"
"47.0  RUE TROIS BORNES, Paris 11.0"
"138.0  AV PARMENTIER, Paris 11.0"
"115.0  AV PARMENTIER, Paris 11.0"
"22.0  RUE PIERRE LEVEE, Paris 11.0"
"38.0 B AV REPUBLIQUE, Paris 11.0"
"30.0  AV REPUBLIQUE, Paris 11.0"
"21.0  BD VOLTAIRE, Paris 11.0"
"50.0  RUE MALTE, Paris 11.0"
"42.0  BD TEMPLE, Paris 11.0"
"6.0  RUE JEAN PIERRE TIMBAUD, Paris 11.0"
"20.0  BD VOLTAIRE, Paris 11.0"
"84.0  RUE FAUBOURG DU TEMPLE, Paris 11.0"
"88.0  RUE OBERKAMPF, Paris 11.0"
"92.0  RUE SAINT MAUR, Paris 11.0"
"124.0  AV REPUBLIQUE, Paris 11.0"
"20.0  RUE LACHARRIERE, Paris 11.0"
"78.0  BD RICHARD LENOIR, Paris 11.0"
"25.0  RUE SAINT SEBASTIEN, Paris 11.0"
"42.0  BD VOLTAIRE, Paris 11.0"
"93.0  RUE AMELOT, Paris 11.0"
"60.0  BD BEAUMARCHAIS, Paris 11.0"
"82.0  AV PARMENTIER, Paris 11.0"
"1.0  COUR DAMOYE, Paris 11.0"
"51.0  RUE SEDAINE, Paris 11.0"
"64.0  RUE SEDAINE, Paris 11.0"
"50.0  RUE FOLIE REGNAULT, Paris 11.0"
"128.0  AV PHILIPPE AUGUSTE, Paris 11.0"
"68.0  RUE LEON FROT, Paris 11.0"
"71.0  RUE LEON FROT, Paris 11.0"
"7.0  RUE FRANCOIS DE NEUFCHATEAU, Paris 11.0"
"33.0  RUE ROQUETTE, Paris 11.0"
"35.0  RUE ROQUETTE, Paris 11.0"
"16.0  RUE SAINT SABIN, Paris 11.0"
"90.0  AV LEDRU ROLLIN, Paris 11.0"
"11.0  RUE TROUSSEAU, Paris 11.0"
"53.0  RUE MONTREUIL, Paris 11.0"
"309.0  RUE FAUBOURG SAINT ANTOINE, Paris 11.0"
"18.0  RUE ALEXANDRE DUMAS, Paris 11.0"
"203.0  BD VOLTAIRE, Paris 11.0"
"177.0  BD VOLTAIRE, Paris 11.0"
"25.0  BD CHARONNE, Paris 11.0"
"25.0  RUE MARSOULAN, Paris 12.0"
"36.0  CRS VINCENNES, Paris 12.0"
"13.0  AV LAMORICIERE, Paris 12.0"
"66.0  BD SOULT, Paris 12.0"
"47.0  BD SOULT, Paris 12.0"
"63.0  BD PICPUS, Paris 12.0"
"22.0  RUE COLONNES DU TRONE, Paris 12.0"
"143.0  BD DIDEROT, Paris 12.0"
"10.0  RUE PICPUS, Paris 12.0"
"2.0  RUE DOCTEUR GOUJON, Paris 12.0"
"15.0  RUE GOSSEC, Paris 12.0"
"3.0 B RUE CAPRI, Paris 12.0"
"257.0  RUE CHARENTON, Paris 12.0"
"14.0  RUE DUGOMMIER, Paris 12.0"
"37.0  BD REUILLY, Paris 12.0"
"9.0  RUE PLEYEL, Paris 12.0"
"2.0  RUE REUILLY, Paris 12.0"
"8.0  RUE CHALIGNY, Paris 12.0"
"3.0  RUE ERARD, Paris 12.0"
"171.0  RUE CHARENTON, Paris 12.0"
"14.0  PL LACHAMBEAUDIE, Paris 12.0"
"86.0  BD DIDEROT, Paris 12.0"
"182.0  RUE FAUBOURG SAINT ANTOINE, Paris 12.0"
"14.0  RUE ABEL, Paris 12.0"
"73.0  AV LEDRU ROLLIN, Paris 12.0"
"8.0  RUE ABEL, Paris 12.0"
"19.0  BD DIDEROT, Paris 12.0"
"12.0  RUE COYPEL, Paris 13.0"
"4.0  RUE COYPEL, Paris 13.0"
"5.0  PL PINEL, Paris 13.0"
"70.0  RUE PATAY, Paris 13.0"
"37.0  RUE TOLBIAC, Paris 13.0"
"112.0  RUE PATAY, Paris 13.0"
"10.0  RUE CHARLES MOUREU, Paris 13.0"
"79.0  RUE PATAY, Paris 13.0"
"97.0  AV IVRY, Paris 13.0"
"32.0  RUE REGNAULT, Paris 13.0"
"13.0  PL VENETIE, Paris 13.0"
"117.0  BD MASSENA, Paris 13.0"
"65.0  BD KELLERMANN, Paris 13.0"
"108.0  AV ITALIE, Paris 13.0"
"16.0  RUE BOURGON, Paris 13.0"
"82.0  AV ITALIE, Paris 13.0"
"3.0  RUE MOULINET, Paris 13.0"
"9.0  RUE VANDREZANNE, Paris 13.0"
"30.0  AV ITALIE, Paris 13.0"
"117.0  RUE GLACIERE, Paris 13.0"
"32.0  RUE VERGNIAUD, Paris 13.0"
"27.0  RUE CINQ DIAMANTS, Paris 13.0"
"89.0  AV ITALIE, Paris 13.0"
"33.0  BD AUGUSTE BLANQUI, Paris 13.0"
"7.0  BD ARAGO, Paris 13.0"
"37.0  BD ARAGO, Paris 13.0"
"70.0 B BD AUGUSTE BLANQUI, Paris 13.0"
"14.0  RUE VULPIAN, Paris 13.0"
"7.0  BD PORT ROYAL, Paris 13.0"
"50.0  BD ARAGO, Paris 13.0"
"28.0  RUE GLACIERE, Paris 13.0"
"108.0  BD MONTPARNASSE, Paris 14.0"
"42.0  RUE MONTPARNASSE, Paris 14.0"
"9.0  RUE ODESSA, Paris 14.0"
"103.0  AV MAINE, Paris 14.0"
"42.0  RUE DAGUERRE, Paris 14.0"
"2.0  AV GENERAL LECLERC, Paris 14.0"
"282.0  BD RASPAIL, Paris 14.0"
"71.0 B RUE TOMBE ISSOIRE, Paris 14.0"
"16.0  RUE SOPHIE GERMAIN, Paris 14.0"
"24.0  RUE MONTBRUN, Paris 14.0"
"73.0  RUE ALESIA, Paris 14.0"
"79.0  AV GENERAL LECLERC, Paris 14.0"
"30.0  RUE QUATRE SEPTEMBRE, Paris 2.0"
"136.0  RUE TOMBE ISSOIRE, Paris 14.0"
"68.0  RUE ALESIA, Paris 14.0"
"208.0  AV MAINE, Paris 14.0"
"185.0  AV MAINE, Paris 14.0"
"20.0  RUE BREZIN, Paris 14.0"
"16.0  RUE ERNEST CRESSON, Paris 14.0"
"181.0  RUE CHATEAU, Paris 14.0"
"158.0  AV MAINE, Paris 14.0"
"123.0  RUE DIDOT, Paris 14.0"
"3.0  PL PORTE DE VANVES, Paris 14.0"
"27.0  RUE RAYMOND LOSSERAND, Paris 14.0"
"111.0  RUE CHATEAU, Paris 14.0"
"205.0  RUE ALESIA, Paris 14.0"
"40.0  RUE VOUILLE, Paris 15.0"
"87.0  RUE BRANCION, Paris 15.0"
"6.0  RUE FIZEAU, Paris 15.0"
"29.0  RUE MORILLONS, Paris 15.0"
"373.0  RUE VAUGIRARD, Paris 15.0"
"362.0 B RUE VAUGIRARD, Paris 15.0"
"134.0  RUE LECOURBE, Paris 15.0"
"95.0  RUE BLOMET, Paris 15.0"
"7.0  RUE FERDINAND FABRE, Paris 15.0"
"12.0  RUE FERDINAND FABRE, Paris 15.0"
"201.0  RUE CONVENTION, Paris 15.0"
"227.0  RUE CONVENTION, Paris 15.0"
"103.0  RUE OLIVIER DE SERRES, Paris 15.0"
"399.0  RUE VAUGIRARD, Paris 15.0"
"135.0  RUE LECOURBE, Paris 15.0"
"39.0  BD PASTEUR, Paris 15.0"
"15.0  RUE NICOLAS CHARLET, Paris 15.0"
"2.0  RUE DOCTEUR ROUX, Paris 15.0"
"32.0  RUE VOLONTAIRES, Paris 15.0"
"8.0  RUE MATHURIN REGNIER, Paris 15.0"
"3.0  RUE LECOURBE, Paris 15.0"
"43.0  RUE DUTOT, Paris 15.0"
"115.0  BD GRENELLE, Paris 15.0"
"28.0  RUE LAOS, Paris 15.0"
"9.0  RUE LOURMEL, Paris 15.0"
"19.0  RUE COMMERCE, Paris 15.0"
"1.0  PL CAMBRONNE, Paris 15.0"
"48.0  RUE CROIX NIVERT, Paris 15.0"
"41.0  RUE ENTREPRENEURS, Paris 15.0"
"7.0  RUE MADEMOISELLE, Paris 15.0"
"78.0  AV SUFFREN, Paris 15.0"
"78.0  AV SUFFREN, Paris 15.0"
"61.0  RUE COMMERCE, Paris 15.0"
"56.0  PL SAINT CHARLES, Paris 15.0"
"83.0  AV FELIX FAURE, Paris 15.0"
"9.0  RUE VASCO DE GAMA, Paris 15.0"
"155.0  RUE SAINT CHARLES, Paris 15.0"
"92.0  RUE CONVENTION, Paris 15.0"
"64.0  RUE ENTREPRENEURS, Paris 15.0"
"42.0  RUE ENTREPRENEURS, Paris 15.0"
"44.0  RUE ENTREPRENEURS, Paris 15.0"
"135.0  RUE SAINT CHARLES, Paris 15.0"
"7.0  RPT PONT MIRABEAU, Paris 15.0"
"96.0  RUE SAINT CHARLES, Paris 15.0"
"48.0  AV EMILE ZOLA, Paris 15.0"
"13.0  RUE ROCROY, Paris 10.0"
"71.0  RUE BALARD, Paris 15.0"
"43.0  AV VERSAILLES, Paris 16.0"
"122.0  BD MURAT, Paris 16.0"
"59.0  RUE CHARDON LAGACHE, Paris 16.0"
"7.0  RUE GROS, Paris 16.0"
"45.0  RUE JEAN DE LA FONTAINE, Paris 16.0"
"55.0  RUE MOLITOR, Paris 16.0"
"105.0  BD EXELMANS, Paris 16.0"
"38.0  RUE DOCTEUR BLANCHE, Paris 16.0"
"18.0  RUE BENJAMIN FRANKLIN, Paris 16.0"
"16.0 B RUE PASSY, Paris 16.0"
"18.0  RUE PASSY, Paris 16.0"
"24.0  RUE PASSY, Paris 16.0"
"19.0  RUE BOIS LE VENT, Paris 16.0"
"1.0  RUE BOIS LE VENT, Paris 16.0"
"18.0  RUE DUBAN, Paris 16.0"
"55.0  RUE PASSY, Paris 16.0"
"63.0  RUE PASSY, Paris 16.0"
"16.0  RUE JEAN BOLOGNE, Paris 16.0"
"41.0  RUE PASSY, Paris 16.0"
"4.0 B RUE ASSOMPTION, Paris 16.0"
"72.0  RUE RANELAGH, Paris 16.0"
"2.0  RUE LARGILLIERE, Paris 16.0"
"32.0  RUE SCHEFFER, Paris 16.0"
"92.0  RUE LONGCHAMP, Paris 16.0"
"171.0  AV VICTOR HUGO, Paris 16.0"
"172.0  AV VICTOR HUGO, Paris 16.0"
"167.0  RUE POMPE, Paris 16.0"
"16.0 B RUE DUFRENOY, Paris 16.0"
"89.0  AV RAYMOND POINCARE, Paris 16.0"
"13.0  AV BUGEAUD, Paris 16.0"
"56.0  RUE LONGCHAMP, Paris 16.0"
"58.0  AV KLEBER, Paris 16.0"
"1.0  RUE LA PEROUSE, Paris 16.0"
"39.0  AV IENA, Paris 16.0"
"37.0  AV MARCEAU, Paris 16.0"
"48.0  RUE GALILEE, Paris 16.0"
"4.0  RUE GENERAL LANREZAC, Paris 17.0"
"26.0  AV GRANDE ARMEE, Paris 17.0"
"129.0  BD MAGENTA, Paris 10.0"
"1.0  RUE BRUNEL, Paris 17.0"
"50.0  AV GRANDE ARMEE, Paris 17.0"
"24.0  RUE SAINT FERDINAND, Paris 17.0"
"75.0  AV TERNES, Paris 17.0"
"233.0  BD PEREIRE, Paris 17.0"
"2.0  PL PORTE MAILLOT, Paris 17.0"
"25.0  BD GOUVION SAINT CYR, Paris 17.0"
"25.0  RUE DESCOMBES, Paris 17.0"
"43.0  RUE LAUGIER, Paris 17.0"
"72.0  AV TERNES, Paris 17.0"
"21.0  AV NIEL, Paris 17.0"
"11.0  RUE LAUGIER, Paris 17.0"
"16.0  AV TERNES, Paris 17.0"
"101.0  RUE COURCELLES, Paris 17.0"
"124.0  RUE COURCELLES, Paris 17.0"
"24.0  RUE CHAZELLES, Paris 17.0"
"2.0  RUE MEISSONIER, Paris 17.0"
"97.0  AV VILLIERS, Paris 17.0"
"2.0  RUE RENNEQUIN, Paris 17.0"
"202.0  BD MALESHERBES, Paris 17.0"
"66.0  RUE JOUFFROY D ABBANS, Paris 17.0"
"149.0  BD MALESHERBES, Paris 17.0"
"70.0  AV VILLIERS, Paris 17.0"
"136.0  BD MALESHERBES, Paris 17.0"
"83.0  RUE LEVIS, Paris 17.0"
"41.0  RUE LEVIS, Paris 17.0"
"25.0  RUE LEVIS, Paris 17.0"
"150.0  BD BERTHIER, Paris 17.0"
"158.0  BD BERTHIER, Paris 17.0"
"105.0  RUE DAMES, Paris 17.0"
"74.0  BD BATIGNOLLES, Paris 17.0"
"2.0  RUE SAUSSURE, Paris 17.0"
"18.0  RUE LEVIS, Paris 17.0"
"14.0  BD PEREIRE, Paris 17.0"
"35.0  RUE BATIGNOLLES, Paris 17.0"
"39.0  RUE BATIGNOLLES, Paris 17.0"
"23.0  RUE MOINES, Paris 17.0"
"1.0  RUE NOLLET, Paris 17.0"
"6.0  RUE DAMES, Paris 17.0"
"48.0  RUE MOINES, Paris 17.0"
"117.0  BD BESSIERES, Paris 17.0"
"184.0  AV CLICHY, Paris 17.0"
"58.0  RUE LA JONQUIERE, Paris 17.0"
"132.0  AV CLICHY, Paris 17.0"
"80.0  RUE MOINES, Paris 17.0"
"200.0  RUE LEGENDRE, Paris 17.0"
"25.0  AV SAINT OUEN, Paris 17.0"
"72.0  AV CLICHY, Paris 17.0"
"18.0  AV CLICHY, Paris 18.0"
"135.0  RUE LAMARCK, Paris 18.0"
"70.0  AV SAINT OUEN, Paris 18.0"
"110.0  AV SAINT OUEN, Paris 18.0"
"9.0  AV PORTE DE CLIGNANCOURT, Paris 18.0"
"83.0  RUE DAMREMONT, Paris 18.0"
"184.0  RUE ORDENER, Paris 18.0"
"114.0  RUE ORDENER, Paris 18.0"
"128.0  RUE LAMARCK, Paris 18.0"
"4.0  PL JACQUES FROMENT, Paris 18.0"
"43.0  RUE DAMREMONT, Paris 18.0"
"106.0  RUE CAULAINCOURT, Paris 18.0"
"4.0  RUE BURQ, Paris 18.0"
"82.0  BD CLICHY, Paris 18.0"
"97.0  RUE LAMARCK, Paris 18.0"
"57.0  RUE ORSEL, Paris 18.0"
"1.0  RUE TROIS FRERES, Paris 18.0"
"61.0  RUE TROIS FRERES, Paris 18.0"
"42.0  RUE CHEVALIER DE LA BARRE, Paris 18.0"
"50.0  BD ROCHECHOUART, Paris 18.0"
"1.0  RUE PIERRE PICARD, Paris 18.0"
"23.0  RUE MULLER, Paris 18.0"
"22.0  RUE CUSTINE, Paris 18.0"
"103.0  RUE CLIGNANCOURT, Paris 18.0"
"20.0  RUE SIMART, Paris 18.0"
"22.0  RUE SIMART, Paris 18.0"
"31.0  RUE LETORT, Paris 18.0"
"64.0  RUE LETORT, Paris 18.0"
"55.0  BD ORNANO, Paris 18.0"
"5.0  RUE VERSIGNY, Paris 18.0"
"50.0  RUE ORDENER, Paris 18.0"
"39.0 B RUE CHAMPIONNET, Paris 18.0"
"50.0  RUE CHAMPIONNET, Paris 18.0"
"78.0  BD ORNANO, Paris 18.0"
"52.0  BD BARBES, Paris 18.0"
"72.0  RUE MYRHA, Paris 18.0"
"12.0  RUE POULET, Paris 18.0"
"6.0  RUE BOISSIEU, Paris 18.0"
"63.0  RUE GOUTTE D OR, Paris 18.0"
"51.0 B RUE GOUTTE D OR, Paris 18.0"
"2.0  RUE CHARTRES, Paris 18.0"
"9.0  RUE MYRHA, Paris 18.0"
"35.0  RUE MYRHA, Paris 18.0"
"26.0  RUE POISSONNIERS, Paris 18.0"
