adresse
25 RUE LOUVRE 
1 RUE PIERRE LESCOT 
196 RUE SAINT HONORE 
7 RUE ARGENTEUIL 
20 RUE PYRAMIDES 
22 AV OPERA 
15 RUE MOLIERE 
51 RUE PETITS CHAMPS 
16 RUE SAINT ROCH 
14 RUE MARCHE SAINT HONORE 
12 RUE GOMBOUST 
350 RUE SAINT HONORE 
362 RUE SAINT HONORE 
17 RUE PAIX 
20 RUE PAIX 
30 RUE DANIELLE CASANOVA 
29 RUE QUATRE SEPTEMBRE 
19 RUE ANTIN 
14 RUE GAILLON 
38 RUE PETITS CHAMPS 
9 RUE SAINT AUGUSTIN 
77 RUE RICHELIEU 
19 RUE SAINT MARC 
60 RUE RICHELIEU 
6 RUE PETITS PERES 
